#meta  sampleObjType=ClassifiedHtSample moduleName=htMLsample
knownClassName|ID|curationState|studytype|experimenttype|modification_date|titleLength|descriptionLength|title|description
No|GSE15901|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|107|1882|Comparison of gene expression in whole blood of mice subjected to hypobaric hypoxia at Mt. Everest in vivo.|To determine hypoxia mediated changes in whole blood, normal swiss webster mice were gradually exposed to a chronic hypobaric hypoxic environment up to 8500m, for 2 weeks in vivo. Control, age-matched mice were maintained under normoxic conditions in Kathmandu (c. 1300 mts above sea level). Purpose: To examine and characterize the expression profile of genes expressed at hypobaric hypoxia on Mt. Everest of whole blood in comparison to the control. Methods: At the beginning of the experiment mice were divided into two groups, control (room condition, Kathmandu, Nepal) and hypoxic (hypoxic condition). For conditioning, the hypoxic group was exposed to lower levels of hypobaric hypoxia during our mountaineering expedition to Mt Everest. The oxygen level was decreased according to our climbing protocol from 21% to about 7% over a period of 15 days. Food and water were changed daily during the course of the experiment. After 15 days animals were euthanized after whole blood extraction from V. Cava for further analysis. RNA from whole blood was isolated, processed and used for microarray-based expression profiling. Profiles were generated for genes differentially expressed at control versus hypobaric hypoxia in whole blood using a false discovery rate (FDR) of 0%.We validated the profiles by real-time quantitative reverse transcription-polymerase chain reaction (qPCR).Results: The regional transcriptomes associated with hypobaric hypoxia on Mt. Everest in whole blood were identified. We found 947 genes that were differentially expressed in normobaric hypoxic whole blood compared to control with a 0% FDR and a 2 fold cutoff. Conclusion: Transcriptome level differences exist between control and hypobaric hypoxia in whole blood. Our definition of the synaptic transcriptome provides insight into the functioning of the unique response to hypoxia in whole blood. .. total RNA;  Whole Blood;  control;  hypobaric hypoxia;  10090;  Mus musculus;  At the beginning of the experiment mice were divided into two groups, control (room condition, Kathmandu, Nepal) and hypoxic (hypoxic condition). For conditioning, the hypoxic group was exposed to lower levels of hypobaric hypoxia during our mountaineering expedition to Mt Everest. The oxygen level was decreased according to our climbing protocol from 21% to about 7% over a period of 15 days. Food and water were changed daily during the course of the experiment. After 15 days animals were euthanized after whole blood extraction from V. Cava for further analysis.;
No|GSE15894|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|93|1859|Comparison of gene expression in whole blood of mice subjected to normobaric hypoxia in vivo.| To determine hypoxia mediated changes in whole blood, normal C57Bl/10 mice were gradually exposed to a chronic hypoxic environment, equivalent to an altitude of 6500m, for 2 weeks in vivo. Control, age-matched mice were maintained under normoxic, normobaric conditions by exposing them to ambient air in Philadelphia (c. 50 mts above sea level).  Purpose: To determine the expression profile of genes differentially expressed in mouse whole blood upon exposure to normobaric hypoxia in vivo.Methods: The hypoxic group consisting of 6 C57/BL10 mice was exposed to normobaric hypoxia, in a specially designed and hermetically closed hypoxic chamber, using a gas mixing system Pegas 4000 MF (Columbus Instruments, Ohio, USA). The oxygen level was decreased from 21% to 8% over a period of 14 days. 6 control mice were kept at normal oxygen and pressure levels  by exposing them to ambient air in Philadelphia (c. 50 mts  above sea level).  RNA from whole blood was isolated, processed and used for microarray-based expression profiling. Profiles were generated for genes differentially expressed at control versus normobaric hypoxia in whole blood using a false discovery rate (FDR) of 0%. The Profile was validated by real-time quantitative reverse transcription-polymerase chain reaction (qPCR) on 2 biologically independent samples, not used for generating the profile.Results: The transcriptomes associated with normobaric hypoxia in whole blood were identified. We found 4723 genes that were differentially expressed in normobaric hypoxic whole blood compared to control with a 0% FDR and a 2 fold cutoff.Conclusion: Transcriptome level differences exist in the whole blood of animals subjected to normobaric hypoxia. Our definition of the normobaric hypoxia blood transcriptome provides insight into the functioning and response to hypoxia in whole blood. .. total RNA;  Whole Blood;  control;  normobaric hypoxia;  10090;  Mus musculus;  At the beginning of the experiment mice were divided into two groups, control (room condition) and hypoxic (hypoxic condition). For conditioning, the hypoxic group was exposed to lower levels of hypoxia, in a specially designed and hermetically closed hypoxic chamber, using a special gas mixing system Pegas 4000 MF (Columbus Instruments, Ohio, USA). The oxygen level was decreased from 21% to 8% over a period of 14 days. Animal?s weight and food intake were monitored daily. Food and water were changed daily during the course of the experiment. Before and after the experiments the hematocrit was monitored by taking blood from the tail vein of control and hypoxic animals. After 15 days animals were euthanized using CO2 after whole blood extraction from V. Cava for further analysis.;
No|GSE21137|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|97|2094|Ultrastructural and transcriptional profiling of neuropathological misregulation of CREB function|We compare here the neurodegenerative processes observed in the hippocampus of bitransgenic mice with chronically altered levels of cAMP-response element-binding protein (CREB) function. The combination of genome-wide transcriptional profiling of degenerating hippocampal tissue with microscopy analyses reveals that the sustained inhibition of CREB function in A-CREB mice is associated with dark neuron degeneration, whereas its strong chronic activation in VP16-CREB mice primarily causes excitotoxic cell death and inflammation. Furthermore, the meta-analysis with gene expression profiles available in public databases identifies relevant common markers to other neurodegenerative processes and highlights the importance of the immune response in neurodegeneration. Overall, these analyses define the ultrastructural and transcriptional signatures associated with these two forms of hippocampal neurodegeneration, confirm the importance of fine-tuned regulation of CREBdependent gene expression for CA1 neuron survival and function, and provide novel insight into the function of CREB in the etiology of neurodegenerative processes. For each mouse genome 430 2.0 gene expression array (Affymetrix, Santa Clara, CA, USA), total RNA was extracted from the hippocampi of three to four mice with the same age, sex, and genotype to produce one pooled sample. We analyzed three late A-CREB pooled samples (6-week-old mice) and three late VP16-CREB pooled samples (3-week-off dox) with their corresponding control littermate samples (three pooled samples for each strain). To compare with early changes, we included two pooled A-CREB early samples (3-week-old mice) and two pooled VP16-CREB early samples (1-week-off dox) with their corresponding control littermate samples. In the case of A-CREB mice, we used the dataset GSE14320. We prepared new samples from bitransgenic mice and control littermates 1 week after transgene induction and hybridized them to mouse genome 430 2.0 genechips. The arrays were hybridized, washed, and screened for quality according to the manufacturer   s protocol. .. 3 week old;  6 week old;  6 weeks-old;  TetO-A-CREB-95 C57BL6 F1/J;  WT;  tetO-VP16-CREB C57BL/6J;  total RNA;  Hippocampus;  C57BL/6J;  10090;  Mus musculus;
No|GSE21161|Not Applicable|Not Curated|RNA-Seq|2021-09-25|65|1233|Widespread transcription at neuronal activity-regulated enhancers|We used genome-wide sequencing methods to study stimulus-dependent enhancer function in neurons. We identified ~12,000 neuronal activity-regulated enhancers that are bound by the general transcriptional co-activator CBP in an activity-dependent manner. A function of CBP at enhancers may be to recruit RNA polymerase II (RNAPII), as we also observed activity-regulated RNAPII binding to thousands of enhancers. Remarkably, RNAPII at enhancers transcribes bi-directionally a novel class of enhancer RNAs (eRNAs) within enhancer domains defined by the presence of histone H3 that is mono-methylated at lysine 4 (H3K4me1). The level of eRNA expression at neuronal enhancers positively correlates with the level of mRNA synthesis at nearby genes, suggesting that eRNA synthesis occurs specifically at enhancers that are actively engaged in promoting mRNA synthesis. These findings reveal that a widespread mechanism of enhancer activation involves RNAPII binding and eRNA synthesis. Examination of genome-wide binding of three types of modified histones, four transcription factors, and RNA polymerase II (ChIP-Seq), as well as RNA expression (RNA-Seq) before and after membrane depolarization via application of extracellular potassium. .. KCL;  untreated;  4H8, Abcam (Ab5408);  8WG16, Covance (MMS-126R);  Ab2832, Abcam;  Abcam (Ab1012);  Abcam (Ab8895);  H300 (Sc-13029);  MAB1133 (AC238) Millipore;  Millipore (07-449);  NA;  Santa Cruz (Sc-186);  custom;  1;  2;  3;  cortical neuron;  DIV 7, E16.5;  1;  2;  6;  genomic DNA;  polyA RNA;  total RNA;  CBP;  CREB-1;  H3K27Me3;  H3K4Me1;  H3K4Me3;  Input/Input/KCl/B1;  Input/Input/KCl/B2;  Input/Input/MNase/B1;  Input/Input/un/B1;  Input/Input/un/B2;  NA;  NPAS4;  RNAPII;  SRF;  7 DIV E16.5 mouse cortical neurons, before and after membrane depolarization induced by extracellular potassium;  C57B6;  10090;  Mus musculus;  1;  1 and 2;  0, 1, 2, or 6 hours of 55mM KCl, with overnight quieting with TTX/APV;
No|GSE21237|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|104|2366|Inhibition of transglutaminase 2 mitigates transcriptional dysregulation in models of Huntington disease|Huntington Disease (HD) is a dominantly inherited, relentlessly progressive neurodegenerative disease. Caused by a polyglutamine expansion in the mutant huntingtin protein (mhtt), HD pathogenesis impairs function in the cerebral cortex and in medium spiny neurons of the striatum  and involves transcriptional dysregulation of a number of genes. Of these genes, silencing of  genes related to mitochondrial function is believed to explain metabolic dysfunction in rodent  models of HD. Here we show that transglutaminase 2 (TG2), which is upregulated in HD,  exacerbates transcriptional dysregulation by acting as a selective corepressor of nuclear genes.  TG2 inhibition by RNA knockdown, genetic deletion, or administration of a novel irreversible,  peptide-based TG2 inhibitor (ZDON) de-repressed two established regulators of mitochondrial  function, PGC-1   and cytochrome c in a cell model of HD. TG2 must localize to non-coding or  coding regions of these mitochondrial metabolic genes to silence their transcription. As expected,  TG2 inhibition reversed the increased susceptibility of HD mouse cells and human HD  myoblasts to the mitochondrial toxin, 3-nitroproprionic acid (3-NP); however, protection  mediated by TG2 inhibition was not associated with improved mitochondrial bioenergetics.  Indeed, an unbiased array analysis indicated that TG2 inhibition leads to normalization of not  only mitochondrial genes but of nearly 40% of genes that are dysregulated in HD mouse striatal  neurons, including chaperone and histone genes. Indeed, TG2 interacts directly with Histone 3 in  the nucleus. Moreover, TG2 inhibition significantly attenuated photoreceptor degeneration in a  Drosophila model of HD and protected mouse HD striatal neurons (YAC128) from NMDA-  induced toxicity. Altogether these findings demonstrate that TG2 mediates its deleterious effects  in HD by contributing to broad transcriptional dysregulation of genes representing many cellular  functions. These studies define a novel HDAC-independent epigenetic strategy for treating  neurodegeneration. To evaluate the effect of TG2 inhibition (treatment with ZDON, Boc-DON, CystamineA, and Control) in striatal cell lines from a transgenic model of Huntington disease (Q111) vs. control (Q7). One sample (WT.boc.3, 4068264015_G) failed the QC test and was excluded from further analyses. .. Boc-DON;  Control;  CystamineA;  ZDON;  Q111 (Mut);  Q7 (WT);  total RNA;  Mut, boc;  Mut, cystA;  Mut, nt;  Mut, z;  WT, boc;  WT, cystA;  WT, nt;  WT, z;  10090;  Mus musculus;  Cells were treated with ZDON, Boc-DON, CystamineA, and Control;
No|GSE20646|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|106|2147|Identification and validation of the pathways and functions regulated by the ROR alpha1 in skeletal muscle|Identification and validation of the pathways and functions regulated by the orphan nuclear receptor, ROR alpha1, in skeletal muscle  The retinoic acid receptor-related orphan receptor (ROR) alpha has been demonstrated to regulate lipid metabolism. We were interested in the physiologically relevant roles, and pathways regulated by RORalpha1 action in skeletal muscle. This major mass organ accounts for ~40% of the total body mass, and significant levels of lipid catabolism, glucose disposal and energy expenditure. We utilized the strategy of targeted muscle specific expression of a truncated (dominant negative) RORalpha   DE in transgenic mice, to investigate RORalpha1 signalling (and function) in this peripheral tissue. Expression profiling and pathway analysis indicated that RORalpha regulated genes involved in: (i) lipid and carbohydrate metabolism, cardiovascular and metabolic disease; and (ii) the LXR nuclear receptor signaling pathway and, (iii) the Akt and AMPK signaling cascades. This analysis was extensively validated by rigorous qPCR analysis using TaqMan Low Density Arrays, coupled to rigorous statistical analysis (with Empirical Bayes, and Benjamini-Hochberg). Moreover, westerns and metabolic profiling were utilized to validate the genes, proteins and pathways (lipogenic, Akt, AMPK and fatty acid oxidation) involved in the regulation of metabolism by RORalph1. The identified genes and pathways were in concordance with the demonstration of hyperglycemia, glucose intolerance, attenuated insulin stimulated phosphorylation of Akt, and impaired glucose uptake in the transgenic heterozygous Tg-RORalpha   DE animals. In conclusion, we propose that RORalpha1 is involved in regulating the Akt2-AMPK signalling pathways in the context of lipid homeostasis in skeletal muscle. Total RNA was compared from quadriceps femoris of both transgenic and wild type mice. Transgenic mice contained a truncated version of human RORalpha1 (RORalpha1delDE) where the entire E region and part of the hinge/D region have been removed. This transgene is driven by a skeletal muscle specific human skeletal alpha-actin (HSA) promoter. .. RORalpha1delDE;  Wild Type;  total RNA;  1;  2;  3;  quadriceps femoris;  C57BL/6;  10090;  Mus musculus;
No|GSE21087|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|93|883|Gene Expression Profiling of the Calvaria from Conditional Hdac3 Defecient and Wild-type Mice|We utilized the Illumina MouseRef-8 gene expression technology to quantify differential gene expression between wildtype mice and mice with Osterix driven Cre conditional knockout of Hdac3 (Hdac3-CKO).  We compared the RNA extracted from calvaria from 8 wildtype and 8 conditional knockout litter matched mice using two separate Illumina MouseRef-8 chips. Mice with exon 7 of Hdac3 flanked by loxP sites were crossed with mice expressing Cre driven by the Osterix promoter.  RNA from 5 day old mouse calvarial explants (digested for 20 minutes with collagenase) was purified using TRIzol according to the manufacturer   s protocol (Invitrogen) and reverse transcribed using Qiagen   s Quantitect Reverse Transcription Kit.  Two independent microarray experiments were performed; each experiment used RNA from four wildtype and four conditional knockout litter matched mouse calvaria. .. 5 days postnatal;  Conditional Osterix-Cre Null;  Wildtype;  1;  2;  3;  4;  5;  6;  7;  8;  total RNA;  Calvaria_KO;  Calvaria_WT;  10090;  Mus musculus;  calvaria;  __untreated;
No|GSE21060|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|53|1550|Regulation of gene expression in murine liver by IL-6|STEAP4 is a plasma membrane metallo-reductase involved in the transport of iron and copper. Recently, STEAP4 was implicated in promoting insulin sensitivity by acting in white adipose tissue (WAT) to control the production of inflammatory cytokines such as IL-6. Indeed, the loss of STEAP4 expression in mice leads to increased production of inflammatory cytokines in visceral WAT and systemic insulin resistance. In this report, we demonstrate that in mouse liver STEAP4 is produced at significant levels and that STEAP4 transcription is induced by IL-6. We further demonstrate that the STEAP4 gene is a direct target of phosphorylated STAT3 in mouse liver. In addition, hepatic STEAP4 expression is regulated by feeding and fasting, and obesity leads to the induction of STEAP4 expression in the liver. Interestingly, the regulation of STEAP4 in both feeding and fasting and the obese state appears to require the transcription factor C/EBPalpha that may act in concert with STAT3 as they both bind to the proximal STEAP4 promoter in vivo. Taken together these data suggest the transcriptional regulation of hepatic STEAP4 may play a critical role in the response to nutritional and inflammatory stress and contribute to the protective effect of STEAP4 in vivo.  10-week old male C57BL6 mice were fasted for 16 h overnight and then given either saline or IL-6 (100 ng/mouse) injections intraperitoneally for 1 h. Mice were euthanized using CO2, and the livers were collected and snap-frozen in liquid nitrogen and stored at -800C until further use. .. 10-week old;  total RNA;  male;  whole liver, treated with IL-6;  whole liver, treated with saline (control);  C57BL6;  10090;  Mus musculus;  liver;
No|GSE21027|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|70|991|TGFb dependent Treg conversion and the inhibition of conversion by IL6|Analysis of CD4+ cells activated with anti-CD3 and cultured in the presence of IL2. The effects of TGFb and IL6 on Treg conversion were analyzed to discover methods of inhibiting Treg conversion and/or Treg functional inhibition. CD4+ T-cells were enriched from lymph nodes of Foxp3-GFP mice and cultured under the under the following conditions: 1) anti-CD3+IL2; 2) anti-CD3+IL2+TGF  ; 3) anti-CD3+IL2+TGF  +IL6; and 4) anti-CD3+IL2+IL6. On day 4 cells were collected, stained with anti-CD4-PE, and sorted into CD4+FOXP3- and CD4+FOXP3+ populations (>95% purity). For each treatment condition T-effector cells and Tregs were labeled independently  (either cy3 or cy5) and hybridized together for a two-color array experiment. Each treatment condition had dye swapped replicates, and a minimum of 3 replicate in total. Two color experiment. Four conditions : 1) anti-CD3+IL2, 3 samples  2) anti-CD3+IL2+TGF  , 3 samples   3) anti-CD3+IL2+TGF  +IL6, 4 samples   4) anti-CD3+IL2+IL6, 3 samples .. T-effector;  Treg;  total RNA;  CD4+ cells from lymph node;  10090;  Mus musculus;  Cells were incubated for three days with IL2 (100 units/ml), TGFb at 4ng/ml, and IL6 at 25ng/ml.;
No|GSE20054|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|75|1589|H3K27 Methyltransferase PRC2 Represses Wnt Genes to Facilitate Adipogenesis|The Wnt/b-catenin signaling inhibits adipogenesis. Genome-wide profiling studies have revealed the enrichment of histone H3K27 methyltransferase PRC2 on Wnt genes. However, the functional significance of such a direct link between the two types of developmental regulators in mammalian cells, and the role of PRC2 in adipogenesis, remain unclear. Here we show PRC2 and its H3K27 methyltransferase activity are required for adipogenesis. PRC2 directly represses Wnt1, 6, 10a and 10b genes in preadipocytes and during adipogenesis. Deletion of the enzymatic Ezh2 subunit of PRC2 eliminates H3K27me3 on Wnt promoters and de-represses Wnt expression, which leads to activation of Wnt/b-catenin signaling and inhibition of adipogenesis. Ectopic expression of the wild type Ezh2, but not the enzymatically inactive F667I mutant, prevents the loss of H3K27me3 and the defects in adipogenesis in Ezh2-/- preadipocytes. The adipogenesis defects in Ezh2-/- cells can be rescued by expression of adipogenic transcription factors PPARa, C/EBPb, or inhibitors of Wnt/b-catenin signaling. Interestingly, Ezh2-/- cells show marked increase of H3K27 acetylation globally as well as on Wnt promoters. These results indicate that H3K27 methyltransferase PRC2 directly represses Wnt genes to facilitate adipogenesis, and suggest that acetylation and trimethylation on H3K27 play opposing roles in regulating Wnt expression. To identify additional PRC2-regulated genes in preadipocytes, we performed microarray analysis in Ezh2flox/flox preadipocytes infected with retroviruses expressing Cre or vector alone. .. brown preadipocyte;  Ezh2 +/+;  Ezh2 -/-;  total RNA;  immortalized mouse brown preadipocyte;  10090;  Mus musculus;
No|GSE17322|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|60|626|Mouse lung CD103+ and CD11b-high dendritic cell (DC) subsets|Mouse lung CD11c+ dendritic cells are composed of 2 major DC subsets, the CD103+CD11b-low/intermediate DC (CD103+ DC) and the CD11b-highCD103- DC (CD11b-high DC).  These 2 subsets are functionally distinct.  Comparison of their functions showed CD103+ DC Microarray analysis was performed to compare the gene expression profiles of the 2 lung DC subsets in na  ve mice. Perfused lungs from 6-8-week na  ve BALB/cByJ mice were pooled and digested with collagenase D.  CD11c+ cells were selected by anti-CD11c magnetic microbeads (Miltenyi) and stained by fluorochrome-conjugated mAb against I-A, CD103, CD11b, and CD11c plus 7- .. 6-8 week old;  total RNA;  Lung DC;  BALB/cByJ;  10090;  Mus musculus;  lung;  Perfused lungs were digested for 60-90 min in collagenase, Dnase I and hyaluronidase.  Single cell suspensions were treated with hypotonic saline for red blood cell lysis, and filtered through cotton plug.  CD11c+ cells were isolated by anti-CD11c+ magnet;
No|GSE7399|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|106|427|Gene Expression Profiling of Blastocysts Reveals Early Differences Associated with Parthenogenetic Embryos|The goal of this experiment is to test the differences between parthenogenetic and normal fertilized embryos at the blastocyst stage. Keywords: gene expression assay for comparison purposes 30 embryos were pooled to generate each sample.  One sample for each condition was processed per array.  The tetraploid embryos were used as a pseudoreplicate for the diploid embryos.  parthenotes were compared to the fertilized embryos. .. mouse embryos 96 hours in culture, fertilized;  mouse embryos 96 hours in culture, fertilized, fused at the two cell stage to generate tetraploid embryos;  mouse embryos 96 hours in culture, maternal genome only;  mouse embryos 96 hours in culture, maternal genome only, fused at two cell stage to generate tetraploid embryos;  total RNA;  Fertilized_Diploid_Blastocysts_96Hours;  Fertilized_Tetraploid_Blastocysts_96Hours;  Parthenogenetic_Diploid_Blastocysts_96hours;  Parthogenetic_Tetraploid_Blastocysts_96Hours;  10090;  Mus musculus;
No|GSE20645|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|87|716|The difference of gene expression in mouse OPCs in normothermic and hypothermic culture|We have found that the cell yield of oligodendrocyte precursor cells (OPCs) are higher in 31.5     than in 37     not by suppression of apoptosis but by enhancement of proliferation. Here, we performed transcriptome analysis using Affymetrix GeneChip on the primary cultured oligodendrocyte precursor cells prepared from the brain of ICR mice. Oligodendrocyte precursor cells were prepared from primary mixed cell cultures of embryonic mouse cerebral hemispheres. The cerebral hemispheres from 15-day-old mouse embryos were enzymatically dissociated, seeded and cultured for 5 days in D-MEM containing 10% FBS. The cells were passaged to serum-free basal medium and cultured for further 48 hr at 37     and 31.5    . .. oligodendrocyte precursor cells;  total RNA;  OPC cultured at 31.5 ?;  OPC cultured at 37 ?;  ICR;  10090;  Mus musculus;  31.5 ?;  37 ?;  The cells were passaged to serum-free basal medium  and cultured for further 48 hr at 37 ? and 31.5 ?.;
No|GSE15129|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|60|1977|Coenzyme Q10-dependent gene expression in SAMP1 mice tissues|Our present study reveals significant decelerating effects on senescence processes in middle-aged SAMP1 mice supplemented for 6 or 14 months with the reduced form (QH2, 500 mg/ kg BW/ day) of coenzyme Q10 (CoQ10). To unravel molecular mechanisms of these CoQ10 effects, a genome-wide transcript profiling in liver, heart, brain and kidney of SAMP1 mice supplemented with the reduced (QH2) or oxidized form of CoQ10 (Q10) was performed. Liver seems to be the main target tissue of CoQ10 intervention, followed by kidney, heart and brain. Stringent evaluation of the resulting data revealed that QH2 has a stronger impact on gene expression than Q10, which was primarily due to differences in the bioavailability. Indeed, we found that QH2 supplementation was more effective than Q10 to increase levels of CoQ10 in the liver of SAMP1 mice (54.92-fold and 30.36-fold, respectively). To identify functional and regulatory connections of the    top 50    (p < 0.05) up- and down-regulated QH2-sensitive transcripts in liver (fold changes ranging from 21.24 to -6.12), text mining analysis (Genomatix BiblioSphere, GFG level B3) was used. Hereby, we identified 11 QH2-sensitive genes which are regulated by PPAR-   and are primarily involved in cholesterol synthesis (e.g. HMGCS1, HMGCL, HMGCR), fat assimilation (FABP5), lipoprotein metabolism (PLTP) and inflammation (STAT-1). Thus, we provide evidence that QH2 is involved in the reduction of fat and cholesterol synthesis via modulation of the PPAR-   signalling pathway. These data may explain, at least in part, the observed effects on decelerated age-dependent degeneration processes in QH2-supplemented SAMP1 mice. Whole genome expression profiles were analysed from liver, heart, brain and kidney (each analyzed separately) of SAMP1 mice supplemented with QH2, Q10 or a control diet. From every experimental group, three mice each were sacrificed 6 or 14 months after supplementation, resulting in a total of 72 microarrays. .. 14 months;  6 months;  female;  total RNA;  brain, Q10, 14 months;  brain, Q10, 6 months;  brain, QH2, 14 months;  brain, QH2, 6 months;  brain, control, 14 months;  brain, control, 6 months;  heart, Q10, 14 months;  heart, Q10, 6 months;  heart, QH2, 14 months;  heart, QH2, 6 months;  heart, control, 14 months;  heart, control, 6 months;  kidney, Q10, 14 months;  kidney, Q10, 6 months;  kidney, QH2, 14 months;  kidney, QH2, 6 months;  kidney, control, 14 months;  kidney, control, 6 months;  liver, Q10, 14 months;  liver, Q10, 6 months;  liver, QH2, 14 months;  liver, QH2, 6 months;  liver, control, 14 months;  liver, control, 6 months;  Senescence accelerated mice prone 1;  10090;  Mus musculus;  brain;  heart;  kidney;  liver;  Mice were supplemented with the oxidized (Q10) or reduced form (QH2) of CoQ10, or a respective control diet for 6 or 14 months. Based on mean food intake and mean body weight, mice consumed 500 mg/ kg BW/ d QH2 or Q10. After supplementation period (6 or 14 months), mice were sacrificed, corresponding to an age of  7 or 15 months in total.;
No|GSE20570|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|60|2256|Gene profile of PTIP deletion in adult murine cardiac tissue|Methylation of histone H3 lysine 4 (H3K4me) at actively expressed, cell type-specific genes is established during development by the Trithorax group of epigenetic regulators.  In mammals, the Trithorax family includes KMT2A-D (MLL1-4), a family of SET domain proteins that function in large complexes to impart mono-, di-, and trimethylation at H3K4.  Individual KMT2s and their co-factors are essential for embryonic development and the establishment of correct gene expression patterns, presumably by demarcating the active and accessible regions of the genome in a cell specific and heritable manner.  Despite the importance of H3K4me marks in development, little is known about the importance of histone methylation in maintaining gene expression patterns in fully differentiated and non-dividing cell types. In this report, we utilized an inducible cardiac-specific Cre driver to delete the PTIP protein, a key component of a H3K4me complex, and ask whether this activity is still required to maintain the phenotype of terminally differentiated cardiomyocytes.  Our results demonstrate that reducing the H3K4me3 marks is sufficient to alter gene expression patterns and significantly augment systolic heart function.  These results clearly show that maintenance of H3K4me3 marks is necessary for the stability of the transcriptional program in differentiated cells. The array we performed allowed us to identify genes that are regulated by PTIP and histone methylation. 8-week-old littermate mice on a mixed C57B6 and B6129 background were utilized. Three mice were on a background with a PTIP floxed allele and a wild type PTIP allele (PTIP+1, PTIP+2, PTIP+3). Three mice had a transgene that expresses a modified estrogen receptor -Cre recombinase fusion protein under the control of a cardiac-specific driver (alpha myosin heavy chain, Jackson Lab stock #005650) and a floxed PTIP allele and a null PTIP (PTIPKO1, PTIPKO2, PTIPKO3). Both groups of mice were injected with tamoxifen at 8 weeks of age. Tamoxifen deletes the floxed PTIP allele in the PTIPKO mice. 5 days after tamoxifen injection, RNA was harvested from left ventricle (LV) apices in both groups. RNA was then sent to the University of Michigan microarray facility core for analysis. .. mixed C57B6 and B6129;  female;  total RNA;  : PTIP KO;  : PTIP+;  Female mouse heart 5 days after PTIP deletion (tamoxifen injection);  Female mouse heart 5 days after tamoxifen injection;  10090;  Mus musculus;  heart;  8-week-old female mice that were a cross between C57BL6 and B6129 were treated with tamoxifen (20mg/kg intraperitoneal) for 5 days.;
No|GSE17140|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|59|275|Gene expression profile of myeloma cells treated with IGF-1|Objective of this study was to find changes in gene expression of mouse multiple myeloma cells upon treatment with IGF-1 Murine multiple myeloma cells were incubated in serum free medium for 12 hours in the absence (3 replicates) or presence (3 replicates) of 100 ng/ml IGF-1 .. IGF-1;  control;  malignant plasma cells;  multiple myeloma;  total RNA;  multiple myeloma cells (bone marrow);  10090;  Mus musculus;  myeloma cells were cultured for 12h in serum free medium without IGF-1;  myeloma cells were treated with IGF-1 (100 ng/ml) for 12h in serum free medium;
No|GSE20349|Not Applicable|Not Curated|transcription profiling by array|2021-09-25|43|1081|Mouse_embryoid Body_Retinoic acid treatment|S6K1 Knockout mice has a lean phenotype and resitant to a High Fat Diet-induced obesity (Um S.H., Nature, 2004). Adipocyte differentiation consists of two step, first, commitment from stem cell to adipocyte progenitors and second, terminal differentiation from adipocyte progenitors to mature adipocyte. We studied S6K1-dependent gene expression regulation in early stage of commitment by employing ES cell(ESC)-Embryoid Bodies(EBs) differentiation model. We established stable ES cell lines infected with either control non-silencing shRNA (shNS) or S6K1 targetting shRNA (shS6K1). Each sample was treated with retinoic acid for 3 days to induce adipogenesis, then gene expression profile was analyzed employing microarrays and up-regulated and down-regulated genes were selected for analysis. Mouse Embryoid Bodies (approximately 1000 EBs per sample) were treated with retinoic acid (1  M) for 3 days then collected for RNA extraction and hybridization on Affimetrix microarray. Two biological replicates were each performed for EBs prepared from either shNS ESCs or shS6K1 ESCs. .. embryonic stem cells;  total RNA;  S6K1 shRNA lentivirus;  non-silencing shRNA lentivirus;  Mouse ES cell infected with S6K1 shRNA lentivirus (TRCN0000022904, Sigma-Aldrich);  Mouse ES cell infected with non-silencing shRNA lentivirus (SHC002V,Sigma-Aldrich);  10090;  Mus musculus;  ES cells were seeded in hanging drops on bacteriological plate lids (day 0) and allowed to form EBs for two days in ES cell medium without LIF. EBs were then transferred to plates and kept in suspension. After 24 hrs (day 3), the EBs were incubated with 1?M all-trans-retinoic acid (RA) (Sigma-Aldrich) for 3 days (till day6).;
